Customer_No,Purchase,Dollars_Spent,Yearly_Income,Home_Value,Order_Frequency,Recency,Married,Name_Prefix,Age,Telemarket_Ind.,Rents_Apartment,Occupied_<1 yr,Domestic_Prod,Apparel_Purch,Leisure_Prod,Kitchen_Prod,Luxury_Items,Promo_1-7_mon,Promo_8-13_mon,County_Code,Total_Returns,Mens_Apparel,Flatware_Purch,Dishes_Purch,Home_Furniture,Lamps_Purch,Linens_Purch,Blankets_Purch,Towels_Purch,Outdoor_Prod,Coats_Purch,Ladies_Coats,Ladies_Apparel,His_Her_Apparel,Jewelry_Purch,Date_1st_Order,Telemarket_Ord,Account_Number,State_Code,Race,Heating_Type,Number_of_Cars,Number_of_Kids,Travel_Time,Education_Level,Job_Category,$_Value_per_Mailing,Total_Dining_kitch_dish_flat,Sex
499,0,1055,31100,138600,3.2,39,0,Ms,25,0,0,0,0,1,3,0,1,60,28,47,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,14/08/1998,0,1313345140,NY,1,2,1,0,32,2,16,11.98863636,0,female
500,0,1773,54600,157800,1.6,58,1,Ms,15,1,1,0,1,0,1,0,1,62,36,97,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13/08/1998,1,1313690800,IN,1,2,2,2,19,3,1,18.09183674,2,female
501,0,99,15400,101000,1.49,95,0,Mr,28,1,0,1,0,1,1,0,0,32,13,37,0,0,1,1,0,1,2,0,3,1,0,0,0,0,1,13/08/1998,0,1314602218,CA,4,2,1,0,31,1,11,2.2,2,male
502,1,1089,27700,56000,13.82,3,1,Ms,26,1,0,1,9,4,4,1,0,51,71,0,1,6,3,1,20,7,9,3,16,1,2,1,7,3,8,13/08/1998,0,1314688050,KY,1,1,2,0,26,2,11,8.926229508,5,female
503,0,60,32800,52300,0.34,353,1,Ms,61,1,0,0,1,0,0,0,0,6,9,101,-999,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13/08/1998,0,1315115285,CO,1,2,2,0,12,3,16,4,0,female
504,1,414,33700,48900,0.57,80,1,Ms,31,1,0,0,3,0,0,0,1,26,21,0,4,0,1,0,0,1,2,0,1,0,0,0,0,0,0,13/08/1998,0,1315197135,MI,1,3,2,0,32,2,11,8.808510638,1,female
505,0,0,31100,94200,0.23,1059,1,Ms,31,1,0,0,0,0,0,0,0,4,15,47,-999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13/08/1998,0,1315197317,CA,1,2,2,0,17,3,13,0,1,female
506,0,272,57900,166900,0.69,182,1,Ms,43,1,0,0,0,3,1,0,0,25,17,29,1,0,0,0,0,0,0,0,1,2,0,0,3,0,0,13/08/1998,0,1315317014,CA,1,2,2,0,21,3,14,6.476190476,0,female
507,0,392,38000,32300,1.15,49,1,Mrs,31,1,0,0,2,0,0,0,1,56,22,163,-999,0,0,0,2,0,2,0,1,1,0,0,0,0,2,13/08/1998,0,1315397743,MI,1,2,1,3,19,3,11,5.025641026,0,female
508,0,154,43400,74900,0.34,16,1,Mr,44,1,0,0,0,0,0,1,0,2,0,141,-999,0,0,1,0,0,0,0,0,1,1,0,0,0,0,13/08/1998,0,1315411478,TX,1,2,2,2,21,3,6,77,2,male
509,1,0,33000,63400,1.38,365,1,Mrs,28,1,0,0,0,0,0,0,0,48,38,35,-999,0,0,0,5,0,2,0,0,1,0,0,1,0,0,13/08/1998,0,1315672814,UT,1,2,2,0,30,3,14,0,0,female
510,0,439,19400,29500,2.19,16,1,Ms,33,1,0,1,2,2,1,0,0,12,0,45,-999,3,0,0,2,0,0,0,2,5,0,0,2,0,10,14/07/1998,0,1315727048,KY,1,4,2,2,22,1,11,36.58333333,0,female
511,1,90,66900,116500,2.43,9,1,Ms,63,1,0,0,1,0,0,0,0,40,29,163,7,0,2,0,3,2,6,0,4,0,0,0,1,0,0,13/08/1998,0,1316254836,MI,1,2,2,0,21,3,11,1.304347826,2,female
512,1,277,28000,55800,2.43,109,1,Mrs,33,1,0,0,1,2,1,0,0,54,18,0,0,0,0,0,2,0,3,2,4,1,3,2,6,2,1,13/08/1998,0,1316720745,TN,1,1,2,0,13,2,11,3.847222222,0,female
513,0,0,28700,48400,0.69,617,1,Ms,28,1,0,0,0,0,0,0,0,22,12,113,-999,0,0,0,0,1,0,1,2,1,0,0,0,0,0,12/08/1998,0,1317299269,OH,1,2,1,1,15,3,6,0,0,female
514,1,0,23200,55400,1.51,743,1,Mr,32,1,1,0,0,0,0,0,0,25,17,109,-999,1,1,0,9,1,2,0,1,0,2,0,1,0,1,12/08/1998,0,1319064042,LA,1,2,2,0,17,3,16,0,1,male
515,0,58,28300,51500,1.51,308,1,Mr,44,1,0,0,0,1,0,0,0,33,28,0,3,0,1,2,0,1,0,0,4,1,0,0,1,0,1,11/08/1998,0,1319146146,ID,1,1,2,4,13,2,13,0.950819672,3,male
516,0,0,0,0,1.87,491,1,Ms,24,1,0,1,0,0,0,0,0,48,36,0,5,0,1,0,4,0,0,0,3,2,0,0,0,0,2,11/08/1998,0,1319895346,AP,2,1,0,1,0,1,1,0,1,female
517,1,147,22400,51600,1.16,0,1,Mr,32,1,0,0,0,0,1,0,0,27,16,31,-999,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11/08/1998,0,1320820689,IL,4,2,1,0,33,1,11,3.418604651,0,male
518,1,846,37800,52300,6.22,65,0,Ms,36,1,0,0,2,5,5,1,1,66,58,45,2,0,0,0,1,3,0,1,8,8,2,1,9,0,1,10/08/1998,0,1320931817,PA,2,2,2,0,24,2,11,6.822580645,1,female
519,1,550,15100,31500,2.46,19,0,Ms,31,1,0,0,1,3,1,0,0,62,41,179,7,0,0,0,2,0,5,0,8,5,1,0,2,1,2,11/08/1998,0,1320965260,TN,1,1,1,0,15,2,11,5.339805825,0,female
520,1,565,41500,195100,1.06,317,1,Ms,26,1,0,0,0,2,1,0,0,52,50,0,-999,0,0,1,0,0,1,0,4,0,0,0,0,0,2,11/08/1998,0,1321891069,HI,5,1,2,2,32,3,16,5.539215686,1,female
521,0,57,32100,82700,2.5,257,0,Mrs,28,1,0,0,0,0,0,1,0,21,10,89,1,0,1,0,7,0,2,0,0,1,0,0,2,0,3,10/08/1998,0,1322752047,FL,1,1,2,5,25,2,11,1.838709677,2,female
522,0,986,31550,59201,2.37,182,1,Mr,29,1,0,0,0,0,3,0,1,72,51,-999,-999,0,0,0,1,3,1,0,3,0,0,1,0,0,0,10/08/1998,0,1322770437,WA,1,2,2,0,19.7603005,3,11,8.016260163,0,male
523,0,0,34300,61300,0.47,561,1,Mr,27,1,0,0,0,0,0,0,0,18,26,159,-999,0,0,1,1,0,0,0,1,0,0,0,0,0,0,09/08/1998,0,1323270411,OH,1,1,2,0,20,2,11,0,1,male
524,0,387,20700,28500,0.95,105,0,Ms,22,1,0,0,4,0,0,2,0,77,10,35,-999,0,0,0,3,1,0,0,1,0,0,0,0,0,0,17/05/1998,0,1323373645,OH,1,2,1,0,17,3,4,4.448275862,2,female
525,0,102,33900,75200,0.83,63,1,Mrs,36,1,0,1,0,0,0,0,0,35,38,103,-999,0,1,1,1,0,7,0,0,0,0,0,0,0,0,09/08/1998,0,1323426898,SD,1,4,2,0,23,3,16,1.397260274,2,female
526,1,1980,22100,75700,13.45,37,0,Ms,32,1,0,1,8,6,4,1,1,101,65,453,20,4,0,2,9,2,3,2,8,7,4,2,6,7,7,10/08/1998,0,1323586246,TX,1,1,1,0,16,3,16,11.92771084,3,female
527,0,143,24300,28300,1.07,296,1,Mr,29,1,0,0,0,0,0,0,0,33,25,13,1,0,0,0,1,0,1,1,2,0,0,0,1,0,1,10/08/1998,0,1323692762,KS,1,2,2,0,15,3,13,2.465517241,0,male
528,1,0,21700,50300,2.5,393,0,Ms,18,1,0,1,0,0,0,0,0,16,5,15,-999,0,1,0,5,0,2,0,4,6,0,0,0,3,2,10/08/1998,0,1323756823,CA,1,2,2,0,15,2,14,0,1,female
529,1,0,44700,90200,0.95,566,1,Mr,20,1,0,0,0,0,0,0,0,15,24,17,-999,0,1,0,1,1,0,1,1,1,0,0,1,0,0,10/08/1998,0,1324120763,OH,1,2,2,0,17,3,11,0,1,male
530,1,665,31700,60100,3.82,32,1,Mr,30,1,0,0,3,2,1,0,1,45,39,81,3,0,4,1,8,0,0,0,6,1,0,0,3,2,4,09/08/1998,0,1324611951,AL,1,2,2,1,16,2,11,7.916666667,5,male
531,1,58,15200,39500,1.19,205,1,Mrs,29,1,0,0,1,0,0,0,0,32,24,113,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,09/08/1998,0,1324772290,MS,1,2,1,3,16,1,11,1.035714286,1,female
532,0,454,30800,64400,1.91,169,1,Ms,26,1,0,0,0,0,4,1,0,28,24,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,2,09/08/1998,0,1325456331,DE,1,3,2,1,21,2,11,8.730769231,1,female
533,1,1085,17500,42900,10.4,45,0,Ms,30,1,0,0,2,3,1,5,1,85,61,61,5,0,8,5,9,4,1,0,6,1,2,0,5,4,11,09/08/1998,0,1325458337,TX,4,2,1,0,14,1,16,7.431506849,18,female
534,1,122,24400,37900,2.39,218,1,Mrs,31,1,0,0,0,0,1,0,0,38,34,131,2,2,0,0,0,0,0,0,4,3,0,2,6,3,0,09/08/1998,0,1325994109,TN,1,1,2,3,24,1,11,1.694444444,0,female
535,1,405,32800,63000,3.35,78,0,Mrs,33,1,0,0,0,0,1,0,0,0,0,77,0,0,1,0,0,0,1,0,2,3,0,0,2,0,0,27/07/1998,0,1326047592,OH,1,2,1,2,10,3,11,0,1,female
536,0,372,23700,45200,1.43,121,1,Ms,17,1,0,1,1,0,3,1,0,47,28,109,-999,0,2,0,0,0,0,1,0,7,0,0,0,0,0,09/08/1998,0,1326164181,TN,1,1,1,3,10,2,11,4.96,3,female
537,0,283,41500,87900,2.15,82,0,Ms,44,1,0,0,0,3,0,0,0,41,25,439,-999,0,1,1,0,0,4,0,4,1,0,0,4,0,0,09/08/1998,0,1326479811,TX,1,1,2,0,24,3,15,4.287878788,2,female
538,1,55,45600,135200,0.72,91,0,Ms,27,1,0,0,0,0,1,0,0,39,10,59,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,08/08/1998,0,1326681549,NY,2,3,2,1,26,2,1,1.12244898,0,female
539,0,0,23000,32000,1.32,429,1,Mrs,38,1,0,0,0,0,0,0,0,58,31,31,-999,0,0,0,0,0,0,0,0,1,0,1,0,0,3,09/08/1998,0,1326721931,AL,1,1,2,0,27,2,11,0,0,female
540,0,0,30200,51500,0.6,578,1,Mrs,35,1,0,0,0,0,0,0,0,23,17,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,09/08/1998,0,1326740600,PA,1,2,2,0,21,2,11,0,0,female
541,0,96,21800,56100,0.96,283,1,Ms,26,1,0,1,1,0,0,1,0,31,21,13,1,0,3,0,0,1,1,0,0,0,0,0,2,1,0,09/08/1998,0,1327015606,NM,1,2,2,0,20,1,11,1.846153846,4,female
542,0,1464,7700,77500,2.76,99,0,Ms,26,1,0,0,0,0,0,0,1,60,42,31,-999,0,0,0,4,0,4,1,7,0,0,0,0,0,0,09/08/1998,0,1327305700,IL,2,2,1,0,75,2,14,14.35294118,0,female
543,0,55,25200,26400,0.36,101,1,None,34,1,0,0,0,0,0,0,1,1,0,21,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09/08/1998,0,1327424279,KS,1,2,2,0,22,2,11,55,0,female
544,1,290,57700,99400,1.68,46,1,Mrs,25,1,0,0,2,1,0,0,0,47,40,201,-999,0,1,0,2,1,0,0,1,1,0,0,0,1,0,08/08/1998,0,1328732191,TX,1,2,2,1,30,3,1,3.333333333,1,female
545,0,387,29200,50200,3.25,18,1,Mr,44,1,0,0,0,0,3,0,0,49,27,63,1,1,0,0,2,1,0,1,2,4,2,1,1,0,0,08/08/1998,0,1329151078,PA,1,2,2,3,20,2,11,5.092105263,0,male
546,0,133,25600,48600,1.56,80,0,Ms,29,1,0,0,0,0,0,0,1,54,30,139,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,08/08/1998,0,1329157398,WI,1,2,1,1,15,3,11,1.583333333,0,female
547,1,0,35400,52600,1.93,563,0,Mrs,27,1,0,1,0,0,0,0,0,31,25,5,6,2,0,0,2,2,0,0,4,0,0,0,3,0,1,08/08/1998,0,1329203697,CA,1,1,2,0,12,3,10,0,0,female
548,1,119,22000,44500,5.91,9,1,Mrs,33,1,0,0,0,0,1,0,0,55,55,459,7,0,0,0,4,1,3,0,3,2,0,5,5,2,4,08/08/1998,0,1329336174,TX,1,2,1,3,9,2,16,1.081818182,0,female
549,1,84,30300,59700,4.34,200,1,Mr,37,1,0,0,0,0,3,0,0,47,40,0,7,0,2,0,11,4,0,0,6,5,0,0,0,0,1,08/08/1998,0,1329474280,WV,1,2,1,2,21,3,16,0.965517241,2,male
550,0,562,33300,56500,2.17,25,1,None,26,1,0,1,3,1,0,0,0,69,56,103,4,0,0,0,2,0,1,0,1,0,0,0,1,0,0,08/08/1998,0,1330156231,FL,1,1,2,1,16,3,1,4.496,0,female
551,1,1251,27700,68100,2.66,42,1,Mrs,19,1,0,0,3,2,5,0,0,21,0,69,5,0,1,0,4,2,2,0,7,6,1,1,4,0,0,08/08/1998,0,1330320175,FL,1,1,2,3,9,2,16,59.57142857,1,female
552,1,110,45500,84300,2.17,128,1,Ms,42,1,0,1,1,0,0,0,0,18,8,131,2,0,0,0,1,1,2,0,0,2,0,1,5,0,0,08/08/1998,0,1330433887,OK,1,2,2,5,23,3,1,4.230769231,0,female
553,0,69,43100,70400,1.45,5,1,Ms,36,1,0,0,0,0,1,0,0,22,15,25,2,0,2,1,4,0,0,0,2,1,0,0,0,0,4,07/08/1998,0,1330543453,OH,1,1,2,1,30,2,11,1.864864865,3,female
554,1,262,44100,99300,1.81,3,1,Mrs,39,1,0,0,1,0,0,0,0,46,49,75,-999,0,2,2,0,3,2,0,0,1,0,0,0,0,0,08/08/1998,0,1330582808,PA,1,3,2,2,18,3,11,2.757894737,4,female
555,0,573,28600,43200,5.19,164,0,Ms,34,1,1,0,0,0,2,1,0,77,61,0,1,0,1,0,22,0,1,0,1,2,0,0,1,2,5,08/08/1998,0,1330603042,IL,1,2,1,0,12,3,11,4.152173913,2,female
556,0,59,27400,62900,2.53,224,1,Ms,34,1,0,0,0,0,0,0,0,38,30,0,-999,0,1,0,3,1,0,0,0,0,0,0,4,0,2,08/08/1998,0,1330614395,NC,1,1,2,2,15,2,11,0.867647059,1,female
557,0,0,37000,81300,1.21,1351,1,Ms,30,1,0,0,0,0,0,0,0,18,18,0,-999,1,1,0,3,0,0,0,3,0,0,0,0,0,1,08/08/1998,0,1331810935,OH,1,3,2,0,26,3,11,0,1,female
558,0,0,32100,118300,1.69,643,1,None,37,1,0,1,0,0,0,0,0,68,31,0,2,0,0,1,2,0,5,0,1,1,0,1,0,0,0,08/08/1998,0,1331812782,CA,1,2,2,4,18,3,10,0,1,female
559,0,742,36100,63100,4.04,252,1,Mr,28,1,0,0,1,1,2,0,0,0,1,61,1,2,1,0,1,1,0,0,1,3,2,0,3,1,1,08/07/1998,0,1331899987,OH,1,2,2,0,16,3,1,742,1,male
560,0,0,15300,29300,1.21,1234,0,Ms,27,1,0,0,0,0,0,0,0,1,1,149,3,0,0,0,0,0,2,1,4,0,0,0,0,0,0,07/08/1998,0,1333244539,MS,2,1,1,1,14,2,16,0,0,female
561,1,0,59900,261700,1.34,428,1,None,16,1,0,0,0,0,0,0,0,47,34,13,1,0,0,0,0,1,1,0,4,1,1,0,0,0,3,07/08/1998,0,1333274262,SC,1,1,2,4,22,3,16,0,0,female
562,0,1166,31500,69200,1.21,50,0,Ms,33,1,0,0,3,5,0,0,1,24,2,49,0,0,0,0,1,0,2,0,2,0,4,0,0,0,1,08/08/1998,1,1333508867,PA,1,2,2,0,18,2,11,44.84615385,0,female
563,1,880,20500,33000,1.95,166,0,Ms,28,1,0,0,1,1,2,1,0,17,23,29,7,0,0,0,2,0,1,0,2,0,1,0,0,0,3,07/08/1998,0,1333795555,IN,1,2,1,3,16,2,16,22,1,female
564,1,42,31600,56200,1.1,233,1,Ms,55,1,0,0,0,0,0,0,0,16,12,15,-999,0,0,0,1,0,0,0,2,0,0,0,0,0,0,07/08/1998,0,1334818000,NY,1,2,1,1,13,3,11,1.5,0,female
565,0,450,23900,63200,3.68,46,1,Ms,43,1,0,0,3,4,0,0,0,72,48,57,0,2,2,0,4,0,0,0,3,0,0,0,7,2,4,07/08/1998,1,1335303424,WA,1,2,2,0,9,3,14,3.75,2,female
566,1,110,61000,274200,1.71,189,0,Ms,43,1,0,0,0,0,0,0,0,41,34,13,-999,0,0,0,2,0,0,0,2,2,0,0,1,0,0,07/08/1998,0,1335545396,VA,1,2,2,0,22,3,12,1.466666667,0,female
567,1,760,41500,120800,4.19,98,1,Mrs,31,1,0,0,3,1,2,1,1,63,53,5,3,4,0,1,0,0,2,3,5,9,2,0,3,4,2,06/08/1998,0,1336821580,OR,1,1,2,0,21,3,15,6.551724138,2,female
568,0,0,17300,55400,1.97,595,1,Mr,22,1,0,0,0,0,0,0,0,58,46,29,9,0,3,0,2,0,3,0,2,3,1,0,0,2,1,05/08/1998,0,1336986094,NY,1,1,1,0,9,2,16,0,3,male
569,0,0,0,0,2.21,1079,1,Ms,15,1,0,0,0,0,0,0,0,40,33,0,1,1,0,1,11,0,0,0,3,1,0,1,0,0,0,06/08/1998,0,1336993991,NY,2,1,0,1,0,1,1,0,1,female
570,1,223,34300,50500,2.83,218,1,Mrs,29,1,0,0,1,0,0,2,0,21,18,510,-999,0,2,2,1,1,2,4,3,2,1,0,0,1,0,06/08/1998,0,1337358814,MO,1,2,2,6,20,2,16,5.717948718,6,female
571,0,126,24600,83900,2.21,66,0,Ms,27,1,1,1,2,1,0,0,0,22,0,113,-999,0,0,2,3,3,2,2,6,0,0,0,5,1,2,06/08/1998,0,1337532202,TX,1,2,2,0,22,2,11,5.727272727,2,female
572,0,65,28100,124100,1.35,186,0,Ms,34,1,1,1,2,0,0,0,0,52,38,73,0,0,0,0,3,1,0,1,3,0,0,0,0,0,0,14/07/1998,0,1338023706,CA,1,2,1,3,21,3,1,0.722222222,0,female
573,1,923,38200,77100,1.98,31,1,Mr,34,1,0,0,5,0,0,0,0,36,35,0,3,0,1,0,5,0,8,0,1,1,0,0,0,0,0,06/08/1998,0,1338348699,IN,1,1,2,0,19,3,11,13,1,male
574,1,582,20500,47400,2.1,91,1,Ms,25,1,0,0,9,1,0,0,0,26,12,91,3,0,0,0,4,1,9,0,3,0,0,0,1,0,0,04/08/1998,0,1338424037,MS,2,1,1,0,16,2,16,15.31578947,0,female
575,1,875,38200,177900,1.48,17,0,Mr,31,1,0,1,4,2,4,2,0,52,0,53,-999,0,0,1,3,0,0,0,1,0,0,0,0,1,1,06/08/1998,0,1338502352,CA,1,2,2,0,18,3,16,16.82692308,3,male
576,1,803,27200,84700,5.47,10,1,Ms,26,1,0,0,5,1,1,0,0,38,22,65,-999,2,0,0,1,0,2,2,20,7,5,0,8,1,0,06/08/1998,0,1338929068,ID,1,1,2,0,12,3,1,13.38333333,0,female
577,0,61,23900,50000,1.37,108,1,Mrs,39,1,0,0,1,0,0,0,0,13,11,27,5,0,5,0,0,0,0,0,0,0,0,0,6,0,0,05/08/1998,0,1340087731,SC,1,1,2,1,22,2,11,2.541666667,5,female
578,0,42,43200,102000,0.49,200,1,Mr,32,1,0,0,0,0,0,0,0,8,0,550,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,1,05/08/1998,0,1340338332,VA,2,1,2,2,22,3,1,5.25,0,male
579,1,1061,38500,87600,1.25,19,1,None,26,1,0,1,6,2,0,5,1,27,0,137,8,0,2,1,0,0,2,1,0,0,0,0,0,0,2,05/08/1998,2,1341257796,MN,1,3,2,0,21,3,16,39.2962963,8,female
580,0,623,24300,64900,2,143,1,None,59,1,0,1,0,1,2,0,0,66,49,23,-999,0,0,0,7,1,0,0,2,0,0,0,2,2,0,05/08/1998,0,1341532057,NM,1,4,2,0,21,1,11,5.417391304,0,female
581,1,307,40100,83600,2,147,1,Mr,27,1,0,0,0,2,0,0,0,45,11,53,11,0,0,0,0,1,0,0,1,0,1,0,0,0,8,05/08/1998,0,1341546321,MN,1,2,2,0,16,3,11,5.482142857,0,male
582,0,483,24600,35100,1,60,0,Ms,25,1,0,0,0,0,3,0,0,11,0,141,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,05/08/1998,0,1341702452,IA,1,2,2,0,7,3,9,43.90909091,1,female
583,1,243,37200,69100,2.26,45,0,None,26,1,0,0,2,0,0,2,1,37,24,95,9,0,1,1,1,1,1,0,1,2,2,1,1,0,0,04/08/1998,0,1341846713,MO,1,2,2,1,20,3,1,3.983606557,4,female
584,0,0,35300,74800,1.25,821,1,None,33,1,0,0,0,0,0,0,0,21,16,105,-999,0,0,0,0,0,1,1,4,1,0,0,2,0,0,31/07/1998,0,1342651492,FL,1,1,2,0,22,2,16,0,0,female
585,1,1796,21000,27700,3.02,56,0,Ms,25,1,0,0,6,2,4,0,1,72,50,73,-999,0,1,0,1,1,6,0,3,4,0,0,0,0,2,04/08/1998,1,1343037006,AL,2,2,1,0,24,2,11,14.72131148,1,female
586,1,0,43400,73900,1.26,552,1,Ms,43,1,0,0,0,0,0,0,0,23,0,25,-999,0,1,1,1,0,1,1,2,1,0,0,3,0,0,04/08/1998,0,1343870893,WY,1,2,2,0,12,3,16,0,2,female
587,0,0,30900,71100,1.01,643,0,Ms,21,1,0,0,0,0,0,0,0,21,2,13,-999,0,0,0,1,0,0,1,3,0,0,0,0,0,0,04/08/1998,0,1344146442,AZ,1,1,2,0,33,3,1,0,0,female
588,1,1088,36600,135700,2.15,233,1,Ms,26,1,0,0,0,0,0,0,1,29,34,1,-999,0,0,1,3,0,0,1,1,4,0,1,2,1,0,04/08/1998,0,1344188360,CT,1,2,1,6,18,2,11,17.26984127,1,female
589,0,208,36200,59000,2.16,60,1,Mrs,33,1,0,0,0,0,1,0,0,6,0,291,-999,0,2,0,2,0,1,0,1,4,0,0,2,1,3,03/08/1998,0,1345334427,TX,1,1,2,2,34,3,2,34.66666667,2,female
590,0,1223,44500,79800,2.03,128,1,Mrs,48,1,0,0,3,2,2,3,0,40,21,17,4,0,3,1,1,0,0,0,1,1,0,0,2,0,0,03/08/1998,0,1345471997,LA,1,2,2,0,18,3,15,20.04918033,7,female
591,0,548,48300,166900,1.53,79,1,Ms,31,1,0,1,6,0,0,1,0,37,5,23,2,0,0,0,3,0,1,1,3,0,0,1,2,0,0,03/08/1998,0,1345677023,NJ,1,2,2,2,18,3,1,13.04761905,1,female
592,1,17,14600,56100,0.51,128,1,Ms,34,1,0,0,0,0,0,0,0,12,7,189,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,03/08/1998,0,1346025511,MO,1,2,1,0,17,2,16,0.894736842,1,female
593,1,76,61700,464400,1.53,92,0,None,30,1,0,0,0,1,0,0,0,46,50,37,8,2,2,0,2,2,0,0,0,2,0,0,0,0,2,03/08/1998,0,1346381021,CA,1,2,2,0,21,3,1,0.791666667,2,female
594,1,194,33800,72100,3.57,112,1,Ms,29,1,0,0,2,0,0,0,0,57,45,19,10,0,3,0,2,3,3,0,3,4,0,0,1,0,6,03/08/1998,0,1346391376,AZ,1,2,2,2,32,2,14,1.901960784,3,female
595,1,697,34200,65300,2.05,211,1,Mrs,29,1,0,0,1,0,0,2,1,42,24,5,5,0,1,2,0,2,1,0,1,1,1,0,0,0,1,03/08/1998,0,1347371112,MD,1,2,1,5,23,2,11,10.56060606,5,female
596,0,389,35300,180300,1.92,109,1,Mrs,28,1,0,0,3,0,1,3,0,52,38,33,1,3,0,0,2,0,3,0,8,0,0,0,1,3,1,03/08/1998,0,1347609008,WA,1,1,1,1,19,3,15,4.322222222,3,female
597,0,982,29100,75500,4.11,2,1,Ms,29,1,0,0,8,2,1,1,0,86,60,3,26,0,0,1,4,0,9,2,4,1,0,0,3,1,0,03/08/1998,0,1347906412,AL,1,1,2,0,18,2,11,6.726027397,2,female
598,0,920,18300,40300,2.06,14,1,Mr,36,1,0,0,11,0,0,0,1,34,17,89,1,1,0,0,14,0,3,0,1,1,0,1,1,0,2,02/08/1998,0,1348415421,SC,2,1,1,0,22,1,11,18.03921569,0,male
599,1,543,22700,40200,5.53,58,1,Ms,32,1,0,0,5,0,2,0,0,66,36,303,-999,0,1,1,6,0,2,1,9,1,1,0,0,0,1,02/08/1998,0,1348454065,GA,2,4,1,0,22,2,11,5.323529412,2,female
600,0,0,43000,102900,0.51,432,1,Ms,43,1,0,0,0,0,0,0,0,24,17,43,-999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,02/08/1998,0,1348745793,MD,1,3,2,1,26,2,14,0,1,female
601,1,490,34900,50100,1.03,177,1,Ms,31,1,0,1,0,2,0,0,0,30,30,0,1,1,0,0,0,0,0,1,1,1,0,1,2,0,1,02/08/1998,0,1348922335,WI,1,2,2,0,16,3,11,8.166666667,0,female
602,1,1507,24500,43900,4.63,186,0,Ms,34,1,0,0,0,5,8,0,1,76,50,119,-999,3,2,1,2,1,5,3,2,29,2,0,0,0,0,27/07/1998,0,1348993526,OH,1,2,2,0,26,2,11,11.96031746,3,female
603,1,2303,17000,37900,15.48,1,1,Mrs,33,1,0,0,21,10,3,4,1,97,64,439,39,3,3,2,27,2,8,3,17,3,0,3,5,18,6,02/08/1998,1,1349233872,TX,1,2,1,0,21,1,16,14.30434783,9,female
604,1,0,28200,49000,0.77,487,0,Ms,31,1,0,0,0,0,0,0,0,16,19,31,4,0,3,0,1,0,0,1,1,0,0,0,0,0,0,02/08/1998,0,1349277531,OK,1,1,2,0,22,3,1,0,3,female
605,1,0,52100,191600,2.32,608,1,Ms,40,1,0,0,0,0,0,0,0,25,28,33,-999,0,1,0,5,4,2,0,1,0,0,0,0,0,0,02/08/1998,0,1349404879,WA,1,1,2,1,31,3,11,0,1,female
606,0,0,14000,32000,1.29,469,0,None,32,1,0,0,0,0,0,0,0,18,3,149,-999,0,1,0,2,0,4,0,3,1,0,0,0,0,0,02/08/1998,0,1349775773,MS,2,2,1,0,15,2,16,0,1,female
607,0,286,40100,213000,5.05,108,0,Ms,27,1,0,0,1,0,0,0,0,50,30,47,2,1,0,0,1,1,2,1,0,0,7,4,28,0,3,02/08/1998,0,1350510846,NY,1,2,1,0,33,2,1,3.575,0,female
608,1,2026,27600,50500,4.26,3,0,Ms,29,1,0,1,9,3,5,4,1,23,0,0,-999,2,1,1,8,0,7,1,3,2,1,0,0,0,0,31/07/1998,1,1350563696,OH,1,2,2,4,15,2,11,88.08695652,6,female
609,0,42,45300,94600,1.29,51,1,Ms,37,1,0,0,0,0,1,0,0,27,20,81,-999,0,2,0,0,0,0,1,0,0,0,1,0,0,0,02/08/1998,0,1350874606,NC,1,1,2,2,19,3,11,0.893617021,2,female
610,0,302,68000,148900,2.2,98,1,Ms,35,1,0,0,0,2,0,0,0,23,0,153,-999,1,0,0,4,0,1,0,2,2,3,0,14,1,4,02/08/1998,0,1351604895,VA,1,1,2,1,45,3,6,13.13043478,0,female
611,1,716,29300,36500,3.21,35,1,Ms,34,1,0,0,4,7,3,0,0,88,53,169,8,2,0,0,0,1,1,0,4,5,2,0,7,1,9,12/09/1998,0,1352083578,IN,1,2,2,3,13,2,11,5.078014184,0,female
612,0,592,46500,81500,0.65,3,1,Ms,26,1,0,1,0,0,3,0,0,3,0,49,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,01/08/1998,0,1352679508,OH,1,2,2,1,21,3,1,197.3333333,0,female
